LootTableID;AND/OR;LuckSafe;Conditions;UseLevelGS;HWMMult;GSBonus;MaxRoll;Item1;GearScoreRange1;PerkBucketOverrides1;Item2;GearScoreRange2;PerkBucketOverrides2;Item3;GearScoreRange3;PerkOverrides3;Item4;GearScoreRange4;PerkOverrides4;Item5;GearScoreRange5;PerkOverrides5;Item6;GearScoreRange6;PerkOverrides6;Item7;GearScoreRange7;PerkOverrides7;Item8;GearScoreRange8;PerkOverrides8;Item9;GearScoreRange9;PerkOverrides9;Item10;GearScoreRange10;PerkOverrides10;Item11;GearScoreRange11;PerkOverrides11;Item12;GearScoreRange12;PerkOverrides12;Item13;GearScoreRange13;PerkOverrides13;Item14;GearScoreRange14;PerkOverrides14;Item15;GearScoreRange15;PerkOverrides15;Item16;GearScoreRange16;PerkOverrides16;Item17;GearScoreRange17;PerkOverrides17;Item18;GearScoreRange18;PerkOverrides18;Item19;GearScoreRange19;PerkOverrides19;Item20;GearScoreRange20;PerkOverrides20;Item21;GearScoreRange21;PerkOverrides21;Item22;GearScoreRange22;PerkOverrides22;Item23;GearScoreRange23;PerkOverrides23;Item24;GearScoreRange24;PerkOverrides24;Item25;GearScoreRange25;PerkOverrides25;Item26;GearScoreRange26;PerkOverrides26;Item27;GearScoreRange27;PerkOverrides27;Item28;GearScoreRange28;PerkOverrides28;Item29;GearScoreRange29;PerkOverrides29;Item30;GearScoreRange30;PerkOverrides30;Item31;GearScoreRange31;PerkOverrides31;Item32;GearScoreRange32;PerkOverrides32;Item33;GearScoreRange33;PerkOverrides33
DyePlantGreen_Qty;;;;;0;0;0;2-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DyePlantGreen_Probs;;;;;0;0;100000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DyePlantYellow;AND;TRUE;;;0;0;0;PigmentYellow;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DyePlantYellow_Qty;;;;;0;0;0;2-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DyePlantYellow_Probs;;;;;0;0;100000;0;ArenaKeyParts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArenaKeyParts;OR;;;;0;0;0;[LBID]ArenaKeyParts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArenaKeyParts_Qty;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArenaKeyParts_Probs;;;;;0;0;100000;95000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment1;AND;;;;0;0;0;[LTID]DarknessMajorT5;;;MyrkgardKeyFragment1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment1_Qty;;;;;0;0;0;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment1_Probs;;;;;0;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment2;AND;;;;0;0;0;[LTID]DarknessMajorT5;;;MyrkgardKeyFragment2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment2_Qty;;;;;0;0;0;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment2_Probs;;;;;0;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment3;AND;;;;0;0;0;[LTID]DarknessMajorT5;;;MyrkgardKeyFragment3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment3_Qty;;;;;0;0;0;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment3_Probs;;;;;0;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment4;AND;;;;0;0;0;[LTID]DarknessMajorT5;;;MyrkgardKeyFragment4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment4_Qty;;;;;0;0;0;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment4_Probs;;;;;0;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment5;AND;;;;0;0;0;[LTID]DarknessMajorT5;;;MyrkgardKeyFragment5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment5_Qty;;;;;0;0;0;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKeyFragment5_Probs;;;;;0;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKey;AND;;;;0;0;0;MyrkgardKey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKey_Qty;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MyrkgardKey_Probs;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeHuge;AND;;;;0;0;0;OutpostRushWood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeHuge_Qty;;;;;0;0;0;40-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeHuge_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeLarge;AND;;;;0;0;0;OutpostRushWood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeLarge_Qty;;;;;0;0;0;20-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeLarge_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeMedium;AND;;;;0;0;0;OutpostRushWood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeMedium_Qty;;;;;0;0;0;15-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeMedium_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeSmall;AND;;;;0;0;0;OutpostRushWood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeSmall_Qty;;;;;0;0;0;8-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeSmall_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeTiny;AND;;;;0;0;0;OutpostRushWood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeTiny_Qty;;;;;0;0;0;4-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_TreeTiny_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_OreVeinLarge;AND;;;;0;0;0;OutpostRushOre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_OreVeinLarge_Qty;;;;;0;0;0;40-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_OreVeinLarge_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_OreVeinMedium;AND;;;;0;0;0;OutpostRushOre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_OreVeinMedium_Qty;;;;;0;0;0;10-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_OreVeinMedium_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_OreVeinSmall;AND;;;;0;0;0;OutpostRushOre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_OreVeinSmall_Qty;;;;;0;0;0;5-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_OreVeinSmall_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Wolf;AND;;;;0;0;0;OutpostRushRawhide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Wolf_Qty;;;;;0;0;0;10-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Wolf_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_WolfAlpha;AND;;;;0;0;0;OutpostRushRawhide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_WolfAlpha_Qty;;;;;0;0;0;40-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_WolfAlpha_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Bear;AND;;;;0;0;0;OutpostRushRawhide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Bear_Qty;;;;;0;0;0;30-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Bear_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Creatures;AND;;;;0;0;0;OutpostRushAzothEssence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Creatures_Qty;;;;;0;0;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Creatures_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Undead_Brute;AND;;;;0;0;0;OutpostRushAzothEssence;;;OR_SummonStoneWraiths;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Undead_Brute_Qty;;;;;0;0;0;100;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Undead_Brute_Probs;;;;;0;0;10000;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Large_Creatures;AND;;;;0;0;0;OutpostRushAzothEssence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Large_Creatures_Qty;;;;;0;0;0;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OutpostRush_Large_Creatures_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SkinningSmall;OR;;EnemyLevel;;0;0;0;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;;;;;;
SkinningSmall_Qty;;;;;0;0;0;1-2;;;1-2;;;1-2;;;1-2;;;1-2;;;2-3;;;2-3;;;2-3;;;2-3;;;2-3;;;4-5;;;4-5;;;4-5;;;4-5;;;4-5;;;4-6;;;4-6;;;4-6;;;4-6;;;4-6;;;4-6;;;1-2;;;1-2;;;2-3;;;2-3;;;3-4;;;1-2;;;2-3;;;3-4;;;3-5;;;4-6;;;;;;;;
SkinningSmall_Probs;;;;;0;0;5;0;;;2;;;4;;;6;;;8;;;10;;;12;;;14;;;16;;;18;;;20;;;22;;;24;;;26;;;28;;;30;;;32;;;34;;;36;;;38;;;40;;;42;;;44;;;46;;;48;;;50;;;52;;;54;;;56;;;58;;;60;;;;;;;;
SkinningMedium;OR;;EnemyLevel;;0;0;0;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;;;;;;
SkinningMedium_Qty;;;;;0;0;0;1-2;;;1-2;;;1-2;;;1-2;;;1-2;;;2-3;;;2-3;;;2-3;;;2-3;;;2-3;;;4-5;;;4-5;;;4-5;;;4-5;;;4-5;;;4-6;;;4-6;;;4-6;;;4-6;;;4-6;;;4-6;;;1-2;;;1-2;;;2-3;;;2-3;;;3-4;;;1-2;;;2-3;;;3-4;;;3-5;;;4-6;;;;;;;;
SkinningMedium_Probs;;;;;0;0;5;0;;;2;;;4;;;6;;;8;;;10;;;12;;;14;;;16;;;18;;;20;;;22;;;24;;;26;;;28;;;30;;;32;;;34;;;36;;;38;;;40;;;42;;;44;;;46;;;48;;;50;;;52;;;54;;;56;;;58;;;60;;;;;;;;
SkinningLarge;OR;;EnemyLevel;;0;0;0;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;;;;;;
SkinningLarge_Qty;;;;;0;0;0;1-3;;;1-2;;;1-2;;;1-2;;;1-2;;;2-3;;;2-3;;;2-3;;;2-3;;;2-3;;;4-5;;;4-5;;;4-5;;;4-5;;;4-5;;;4-6;;;4-6;;;4-6;;;4-6;;;4-6;;;4-6;;;1-2;;;1-2;;;2-3;;;2-3;;;3-4;;;1-2;;;2-3;;;3-4;;;3-5;;;4-6;;;;;;;;
SkinningLarge_Probs;;;;;0;0;5;0;;;2;;;4;;;6;;;8;;;10;;;12;;;14;;;16;;;18;;;20;;;22;;;24;;;26;;;28;;;30;;;32;;;34;;;36;;;38;;;40;;;42;;;44;;;46;;;48;;;50;;;52;;;54;;;56;;;58;;;60;;;;;;;;
SkinningEliteBonus;OR;;EnemyLevel,Elite;;0;0;0;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT1;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT4;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;RawhideT5;;;;;;;;
SkinningEliteBonus_Qty;;;;;0;0;0;1-2;;;1-2;;;1-2;;;1-2;;;1-2;;;2-3;;;2-3;;;2-3;;;2-3;;;2-3;;;4-5;;;4-5;;;4-5;;;4-5;;;4-5;;;4-6;;;4-6;;;4-6;;;4-6;;;4-6;;;4-6;;;1-2;;;1-2;;;2-3;;;2-3;;;3-4;;;1-2;;;2-3;;;3-4;;;3-5;;;4-6;;;;;;;;
SkinningEliteBonus_Probs;;;;;0;0;5;0;;;2;;;4;;;6;;;8;;;10;;;12;;;14;;;16;;;18;;;20;;;22;;;24;;;26;;;28;;;30;;;32;;;34;;;36;;;38;;;40;;;42;;;44;;;46;;;48;;;50;;;52;;;54;;;56;;;58;;;60;;;;;;;;
Furs;OR;;EnemyLevel;;0;0;0;FurT3;;;FurT4;;;FurT5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Furs_Qty;;;;;0;0;0;1-2;;;1-2;;;1-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Furs_Probs;;;;;0;0;5;20;;;42;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ClawsFangs;OR;TRUE;;;0;0;0;FangT4;;;ClawT5;;;[LTID]PerkFangs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ClawsFangs_Qty;;;;;0;0;0;1-2;;;1-2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ClawsFangs_Probs;;;;;0;0;100000;80000;;;80000;;;95000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PerkFangs;OR;;;;0;0;0;FangT1;;;FangT2;;;FangT3;;;[LTID]Tallows;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PerkFangs_Qty;;;;;0;0;0;1;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PerkFangs_Probs;;;;;0;0;100000;85000;;;85000;;;85000;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tallows;OR;;Elite;;0;0;0;TallowT2;;;TallowT3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tallows_Qty;;;;;0;0;0;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
