TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;UseGlobalStorage;EnforceLocationRequirement;TerritoryID;POITag;GameModeID;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;TP_StayComplete;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
1420_0501_d_02_02_02_container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_weaponwrapperquest_questComplete1;;;;1;;;;;;1420_0501_d_02_02_02a_Task_Kill;1420_0501_d_02_02_02b_Task_KillToken;;;
1420_0501_d_02_02_02a_Task_Kill;TaskKillContribution;;1;75;;;0;0;false;true;;ancient_lighthouse;;;false;false;;0;;;;;;;Eridanite;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_02_02_Task_Kill;;;;;;;;;;;;;;
1420_0501_d_02_02_02b_Task_KillToken;TaskHaveAndReturnItems;;1;1;1420_0106_SeakissedWood;Eridanite;5;0;false;false;;ancient_lighthouse;;;true;false;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_02_03_Task_KillToken;;;;;;;;;;;;;;
1420_0501_d_02_03_weaponwrapperquest_questComplete3;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_03_weaponwrapperquest_questComplete3;;;;;;;;;;1420_0501_d_02_03_01_Task_GoTo;1420_0501_d_02_03_02_container_tasks;;;
1420_0501_d_02_03_01_Task_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;ancient_lighthouse_60343;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_03_01_Task_GoTo;;;;;;;;;;;;;;
1420_0501_d_02_03_02_container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_weaponwrapperquest_questComplete1;;;;1;;;;;;1420_0501_d_02_03_02a_Task_Kill;1420_0501_d_02_03_02b_Task_KillToken;;;
1420_0501_d_02_03_02a_Task_Kill;TaskKillContribution;;1;50;;;0;0;false;true;;ancient_lighthouse_60343;;;false;false;;0;;;;;;;Scorpius;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_03_02_Task_Kill;;;;;;;;;;;;;;
1420_0501_d_02_03_02b_Task_KillToken;TaskHaveAndReturnItems;;1;1;1420_0108_HeavyBase;Scorpius;5;0;false;true;;ancient_lighthouse_60343;;;true;false;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_03_03_Task_KillToken;;;;;;;;;;;;;;
1420_0501_d_02_04_weaponwrapperquest_questComplete4;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_04_weaponwrapperquest_questComplete4;;;;;;;;;;1420_0501_d_02_04_01_Task_GoTo;1420_0501_d_02_04_02_container_tasks;;;
1420_0501_d_02_04_01_Task_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;crater_malevolence_50325;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_04_01_Task_GoTo;;;;;;;;;;;;;;
1420_0501_d_02_04_02_container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_weaponwrapperquest_questComplete1;;;;1;;;;;;1420_0501_d_02_04_02a_Task_Kill;1420_0501_d_02_04_02b_Task_Gather_IO;;;
1420_0501_d_02_04_02a_Task_Kill;TaskKillContribution;;1;40;;;0;0;false;true;;crater_malevolence_50325;;;false;false;;0;;;;;;;Alcazarian;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_04_02_Task_Kill;;;;;;;;;;;;;;
1420_0501_d_02_04_02b_Task_Gather_IO;TaskGatherAndReturnItems;;1;12;1420_0107_TwistedStock;0300_EpicWeapons_Malevolence;100;0;false;true;;crater_malevolence_50325;;;true;false;;0;;;;IO_0300_EpicWeapons_Malevolence;;;0300_EpicWeapons_Malevolence_interact_success;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_04_03_Task_KillToken;;;;;;;;;;;;;;
1421_0201_d_00_TorrentContainer_weaponwrapperquest;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_00_TorrentContainer_weaponwrapperquest;;;;;;;;;;1421_0201_d_01_TorrentContainer_weaponwrapperquest_sub_01;1421_0201_d_02_TorrentContainer_weaponwrapperquest_sub_02;;;
1421_0201_d_01_TorrentContainer_weaponwrapperquest_sub_01;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1421_0201_d_01_TorrentContainer_weaponwrapperquest_questComplete_4;1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_1;1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_4;1421_0201_d_01_TorrentContainer_weaponwrapperquest_questPush_1;
1421_0201_d_02_TorrentContainer_weaponwrapperquest_sub_02;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1421_0201_d_01_TorrentContainer_weaponwrapperquest_questComplete_3;1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_3;1421_0201_d_01_TorrentContainer_weaponwrapperquest_questComplete_2;1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_2;
1421_0201_d_01_TorrentContainer_weaponwrapperquest_questPush_1;TaskObjective;;1;0;1421_0202_TorOne;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_TorrentContainer_weaponwrapperquest_questPush_1;;;;;;;;;;;;;;
1421_0201_d_01_TorrentContainer_weaponwrapperquest_questComplete_2;TaskObjective;;1;0;1421_0203_TorTwo;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_TorrentContainer_weaponwrapperquest_questComplete_2;;;;;;;;;;;;;;
1421_0201_d_01_TorrentContainer_weaponwrapperquest_questComplete_3;TaskObjective;;1;0;1421_0204_TorThree;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_TorrentContainer_weaponwrapperquest_questComplete_3;;;;;;;;;;;;;;
1421_0201_d_01_TorrentContainer_weaponwrapperquest_questComplete_4;TaskObjective;;1;0;1421_0205_TorFour;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_TorrentContainer_weaponwrapperquest_questComplete_4;;;;;;;;;;;;;;
1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_1;TaskObjective;;1;0;1421_0206_TorFive;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_1;;;;;;;;;;;;;;
1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_2;TaskObjective;;1;0;1421_0207_TorSix;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_2;;;;;;;;;;;;;;
1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_3;TaskObjective;;1;0;1421_0208_TorSeven;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_3;;;;;;;;;;;;;;
1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_4;TaskObjective;;1;0;1421_0209_TorEight;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_TorrentContainer_weaponwrapperquest_questComplete_4;;;;;;;;;;;;;;
1421_0201_d_01_01_weaponwrapperquest_TorOne;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1421_0201_d_01_01_weaponwrapperquest_TorOne_01_GoTo;1421_0201_d_01_01_weaponwrapperquest_TorOne_02_Tasks;;;
1421_0201_d_01_01_weaponwrapperquest_TorOne_01_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;haunted_town_50201;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_01_weaponwrapperquest_TorOne_Task1;;;;;;;;;;;;;;
1421_0201_d_01_01_weaponwrapperquest_TorOne_02_Tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1421_0201_d_01_01_weaponwrapperquest_TorOne_02a_Task;1421_0201_d_01_01_weaponwrapperquest_TorOne_02b_Task;;;
1421_0201_d_01_01_weaponwrapperquest_TorOne_02a_Task;TaskKillContribution;;1;40;;;0;0;false;true;;haunted_town_50201;;;false;false;;0;;;;;;;Periville;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_01_weaponwrapperquest_TorOne_Task2;;;;;;;;;;;;;;
1421_0201_d_01_01_weaponwrapperquest_TorOne_02b_Task;TaskGatherAndReturnItems;;1;15;1421_0201_PallidAsh;0300_EpicWeapons_Periville;100;0;false;true;;haunted_town_50201;;;true;false;;0;;;;IO_0300_EpicWeapons_Periville;;;0300_EpicWeapons_Periville_interact_success;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_01_weaponwrapperquest_TorOne_Task3;;;;;;;;;;;;;;
1421_0201_d_01_02_weaponwrapperquest_TorTwo;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1421_0201_d_01_02_weaponwrapperquest_TorTwo_01_GoTo;1421_0201_d_01_02_weaponwrapperquest_TorTwo_02_Task;;;
1421_0201_d_01_02_weaponwrapperquest_TorTwo_01_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;ancientcave;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_02_weaponwrapperquest_TorTwo_Task1;;;;;;;;;;;;;;
1421_0201_d_01_02_weaponwrapperquest_TorTwo_02_Task;TaskHaveAndReturnItems;;1;45;1421_0201_BewitchedBone;Rockruins;100;0;false;true;;ancientcave;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_02_weaponwrapperquest_TorTwo_Task3;;;;;;;;;;;;;;
1421_0201_d_01_03_weaponwrapperquest_TorThree;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1421_0201_d_01_03_weaponwrapperquest_TorThree_01_GoTo;1421_0201_d_01_01_weaponwrapperquest_TorThree_02_Tasks;;;
1421_0201_d_01_03_weaponwrapperquest_TorThree_01_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;pirate_fort_30016;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_03_weaponwrapperquest_TorThree_Task1;;;;;;;;;;;;;;
1421_0201_d_01_01_weaponwrapperquest_TorThree_02_Tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1421_0201_d_01_03_weaponwrapperquest_TorThree_02a_Task;1421_0201_d_01_03_weaponwrapperquest_TorThree_02b_Task;;;
1421_0201_d_01_03_weaponwrapperquest_TorThree_02a_Task;TaskKillContribution;;1;50;;;0;0;false;true;;pirate_fort_30016;;;false;false;;0;;;;;;;Undead;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_03_weaponwrapperquest_TorThree_Task2;;;;;;;;;;;;;;
1421_0201_d_01_03_weaponwrapperquest_TorThree_02b_Task;TaskHaveAndReturnItems;;1;5;1421_0201_SKOak;Undead;15;0;false;true;;pirate_fort_30016;;;true;false;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_03_weaponwrapperquest_TorThree_Task3;;;;;;;;;;;;;;
1421_0201_d_01_04_weaponwrapperquest_TorFour;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1421_0201_d_01_04_weaponwrapperquest_TorFour_01_GoTo;1421_0201_d_01_01_weaponwrapperquest_TorFour_02_Tasks;;;
1421_0201_d_01_04_weaponwrapperquest_TorFour_01_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;crater_malevolence_50325;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_04_weaponwrapperquest_TorFour_Task1;;;;;;;;;;;;;;
1421_0201_d_01_01_weaponwrapperquest_TorFour_02_Tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1421_0201_d_01_04_weaponwrapperquest_TorFour_02a_Task;1421_0201_d_01_04_weaponwrapperquest_TorFour_02b_Task;1421_0201_d_01_04_weaponwrapperquest_TorFour_02c_Task;1421_0201_d_01_04_weaponwrapperquest_TorFour_02d_Task;
1421_0201_d_01_04_weaponwrapperquest_TorFour_02a_Task;TaskKillContribution;;1;35;;;0;0;false;true;;crater_malevolence_50325;;;false;false;;0;;;;;;;Alcazarian;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_04_weaponwrapperquest_TorFour_Task2;;;;;;;;;;;;;;
1421_0201_d_01_04_weaponwrapperquest_TorFour_02b_Task;TaskHaveAndReturnItems;;1;1;1421_0201_PHempString;Dryad_Archer;15;0;false;true;;crater_malevolence_50325;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_01_04_weaponwrapperquest_TorFour_Task3;;;;;;;;;;;;;;
1421_0201_d_01_04_weaponwrapperquest_TorFour_02c_Task;TaskHaveAndReturnItems;;1;1;1421_0201_PHempString;Dryad_Archer_14AC11b;15;0;false;true;;crater_malevolence_50325;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1421_0201_d_01_04_weaponwrapperquest_TorFour_02d_Task;TaskHaveAndReturnItems;;1;1;1421_0201_PHempString;Dryad_Archer_62_ELITE;15;0;false;true;;crater_malevolence_50325;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1421_0201_d_02_01_weaponwrapperquest_TorFive;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1421_0201_d_02_01_weaponwrapperquest_TorFive_01_GoTo;1421_0201_d_01_01_weaponwrapperquest_TorFive_02_Tasks;;;
1421_0201_d_02_01_weaponwrapperquest_TorFive_01_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;ancient_lighthouse_60343;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_01_weaponwrapperquest_TorFive_Task1;;;;;;;;;;;;;;
1421_0201_d_01_01_weaponwrapperquest_TorFive_02_Tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1421_0201_d_02_01_weaponwrapperquest_TorFive_02a_Task;1421_0201_d_02_01_weaponwrapperquest_TorFive_02b_Task;;;
1421_0201_d_02_01_weaponwrapperquest_TorFive_02a_Task;TaskKillContribution;;1;35;;;0;0;false;true;;ancient_lighthouse_60343;;;false;false;;0;;;;;;;Scorpius;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_01_weaponwrapperquest_TorFive_Task2;;;;;;;;;;;;;;
1421_0201_d_02_01_weaponwrapperquest_TorFive_02b_Task;TaskHaveAndReturnItems;;1;1;1421_0201_CBLeather;Damned_Acolyte_Named_00;100;0;false;true;;ancient_lighthouse_60343;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_01_weaponwrapperquest_TorFive_Task3;;14234.222 8009.179 64.205;;;;;;;;;;;;
1421_0201_d_02_02_weaponwrapperquest_TorSix;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1421_0201_d_02_02_weaponwrapperquest_TorSix_01_GoTo;1421_0201_d_01_01_weaponwrapperquest_TorSix_02_Tasks;;;
1421_0201_d_02_02_weaponwrapperquest_TorSix_01_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;uppermine;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_02_weaponwrapperquest_TorSix_Task1;;;;;;;;;;;;;;
1421_0201_d_01_01_weaponwrapperquest_TorSix_02_Tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1421_0201_d_02_02_weaponwrapperquest_TorSix_02a_Task;1421_0201_d_02_02_weaponwrapperquest_TorSix_02b_Task;;;
1421_0201_d_02_02_weaponwrapperquest_TorSix_02a_Task;TaskKillContribution;;1;50;;;0;0;false;true;;uppermine;;;false;false;;0;;;;;;;Scorchvein;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_02_weaponwrapperquest_TorSix_Task2;;;;;;;;;;;;;;
1421_0201_d_02_02_weaponwrapperquest_TorSix_02b_Task;TaskHaveAndReturnItems;;1;20;1421_0201_SVOil;Scorchvein;45;0;false;true;;uppermine;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_02_weaponwrapperquest_TorSix_Task3;;;;;;;;;;;;;;
1421_0201_d_02_03_weaponwrapperquest_TorSeven;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1421_0201_d_02_03_weaponwrapperquest_TorSeven_01_GoTo;1421_0201_d_01_01_weaponwrapperquest_TorSeven_02_Tasks;;;
1421_0201_d_02_03_weaponwrapperquest_TorSeven_01_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;greatcleave3;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_03_weaponwrapperquest_TorSeven_Task1;;;;;;;;;;;;;;
1421_0201_d_01_01_weaponwrapperquest_TorSeven_02_Tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1421_0201_d_02_03_weaponwrapperquest_TorSeven_02a_Task;1421_0201_d_02_03_weaponwrapperquest_TorSeven_02b_Task;;;
1421_0201_d_02_03_weaponwrapperquest_TorSeven_02a_Task;TaskKillContribution;;1;35;;;0;0;false;true;;greatcleave3;;;false;false;;0;;;;;;;Unhallowed;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_03_weaponwrapperquest_TorSeven_Task2;;;;;;;;;;;;;;
1421_0201_d_02_03_weaponwrapperquest_TorSeven_02b_Task;TaskHaveAndReturnItems;;1;1;1421_0201_BlackSinew;Tendril_Corruption;100;0;false;true;;greatcleave3;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_03_weaponwrapperquest_TorSeven_Task3;;8609.609 7606.219 577.391;;;;;;;;;;;;
1421_0201_d_02_04_weaponwrapperquest_TorEight;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1421_0201_d_02_04_weaponwrapperquest_TorEight_01_GoTo;1421_0201_d_01_01_weaponwrapperquest_TorEight_02_Tasks;;;
1421_0201_d_02_04_weaponwrapperquest_TorEight_01_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;ancient_lighthouse;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_04_weaponwrapperquest_TorEight_Task1;;;;;;;;;;;;;;
1421_0201_d_01_01_weaponwrapperquest_TorEight_02_Tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1421_0201_d_02_04_weaponwrapperquest_TorEight_02a_Task;1421_0201_d_02_04_weaponwrapperquest_TorEight_02b_Task;;;
1421_0201_d_02_04_weaponwrapperquest_TorEight_02a_Task;TaskKillContribution;;1;35;;;0;0;false;true;;ancient_lighthouse;;;false;false;;0;;;;;;;Eridanite;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_04_weaponwrapperquest_TorEight_Task2;;;;;;;;;;;;;;
1421_0201_d_02_04_weaponwrapperquest_TorEight_02b_Task;TaskHaveAndReturnItems;;1;9;1421_0201_AzothWood;Dryad_Archer;100;0;false;true;;ancient_lighthouse;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1421_0201_d_02_04_weaponwrapperquest_TorEight_Task3;;;;;;;;;;;;;;
1419_0201_d_00_container_Reformation;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1419_0201_d_01_container_Reformation_sub_1;1419_0201_d_02_container_Reformation_sub_2;;;
1419_0201_d_01_container_Reformation_sub_1;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1419_0201_d_01_03_Reformation_questTrack_polishpure;1419_0201_d_02_02_Reformation_questTrack_firesstoked;1419_0201_d_02_04_Reformation_questTrack_gripsecured;1419_0201_d_02_01_Reformation_questTrack_bindingstight;
1419_0201_d_01_01_Reformation_questTrack_metalsraw;TaskObjective;;1;0;1419_0202_Reformation_metalsraw;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0201_Reformation_questTrack_metalsraw;;;;;;;;;;;;;;
1419_0201_d_01_02_Reformation_questTrack_essencebalanced;TaskObjective;;1;0;1419_0203_Reformation_essencebalanced;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0201_Reformation_questTrack_essencebalanced;;;;;;;;;;;;;;
1419_0201_d_01_03_Reformation_questTrack_polishpure;TaskObjective;;1;0;1419_0204_Reformation_polishpure;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0201_Reformation_questTrack_polishpure;;;;;;;;;;;;;;
1419_0201_d_01_04_Reformation_questTrack_wieldertested;TaskObjective;;1;0;1419_0205_Reformation_wieldertested;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0201_Reformation_questTrack_wieldertested;;;;;;;;;;;;;;
1419_0201_d_02_container_Reformation_sub_2;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1419_0201_d_01_02_Reformation_questTrack_essencebalanced;1419_0201_d_02_03_Reformation_questTrack_hafthewn;1419_0201_d_01_01_Reformation_questTrack_metalsraw;1419_0201_d_01_04_Reformation_questTrack_wieldertested;
1419_0201_d_02_01_Reformation_questTrack_bindingstight;TaskObjective;;1;0;1419_0206_Reformation_bindingstight;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0201_Reformation_questTrack_bindingstight;;;;;;;;;;;;;;
1419_0201_d_02_02_Reformation_questTrack_firesstoked;TaskObjective;;1;0;1419_0207_Reformation_firesstoked;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0201_Reformation_questTrack_firesstoked;;;;;;;;;;;;;;
1419_0201_d_02_03_Reformation_questTrack_hafthewn;TaskObjective;;1;0;1419_0208_Reformation_hafthewn;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0201_Reformation_questTrack_hafthewn;;;;;;;;;;;;;;
1419_0201_d_02_04_Reformation_questTrack_gripsecured;TaskObjective;;1;0;1419_0209_Reformation_gripsecured;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0201_Reformation_questTrack_gripsecured;;;;;;;;;;;;;;
1419_0202_d_00_container_Reformation_metalsraw;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1419_0202_d_02_taskGoTo;1419_0202_d_03_container_tasks;;;
1419_0202_d_02_taskGoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;shatteredmountain6;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0202_Reformation_metalsraw_GoToPOI;;;;;;;;;;;;;;
1419_0202_d_03_container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1419_0202_d_03a_TaskKill_MyrkgardCorrupted;1419_0202_d_03b_TaskHaveAndReturnItems_15_CorrAxeHead_a;1419_0202_d_03c_TaskHaveAndReturnItems_15_CorrAxeHead_b;1419_0202_d_03d_TaskHaveAndReturnItems_15_CorrAxeHead_c;
1419_0202_d_03a_TaskKill_MyrkgardCorrupted;TaskKillContribution;;1;50;;;0;0;false;true;;shatteredmountain6;;;false;false;;0;;;;;;;Myrkgard;;;;;;;;;;;;;;;;;;;;@1419_0202_Reformation_metalsraw_TaskKill_Myrkgard;;;;;;;;;;;;;;
1419_0202_d_03b_TaskHaveAndReturnItems_15_CorrAxeHead_a;TaskHaveAndReturnItems;;1;10;1419_0202_CorrAxeHead;Damned_Axeman_M-F_07SM06a_ELITE;100;0;false;true;;shatteredmountain6;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0202_Reformation_metalsraw_obtain_item_from_targets_at_POI;;;;;;;;;;;;;;
1419_0202_d_03c_TaskHaveAndReturnItems_15_CorrAxeHead_b;TaskHaveAndReturnItems;;1;10;1419_0202_CorrAxeHead;Damned_Axeman_M-F_07SM06b_ELITE;100;0;false;true;;shatteredmountain6;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1419_0202_Reformation_metalsraw_obtain_item_from_specific;;;;1;;;;;;;;;;
